Gene	Full Name	Cancer Type(s)	Literature Support
TP53	tumor protein p53	AdCyst;Bladder;Blood;Brain;Breast;Chol;Colo;Endo;GaEso;Head;KiNCl;Liver;LuAD;LuSC;Lymph;Ovar;Panc;Pleura;Prost;Sarc;Skin;Thym;Thyr	level A
KRAS	"KRAS proto-oncogene, GTPase"	Bladder;Blood;Breast;Cervix;Chol;Colo;Endo;GaEso;LuAD;Panc;Testis	level A
APC	"APC, WNT signaling pathway regulator"	Colo;Endo;GaEso;Panc;Prost;Testis	level A
BRAF	"B-Raf proto-oncogene, serine/threonine kinase"	Blood;Brain;Colo;LuAD;Lymph;Panc;Skin;Thyr	level A
PTEN	phosphatase and tensin homolog	Brain;Breast;Cervix;Endo;GaEso;KiCl;KiNCl;Liver;LuSC;Panc;Prost;Skin;Thyr	level A
RB1	RB transcriptional corepressor 1	Bladder;Brain;Breast;Cervix;Endo;GaEso;KiNCl;Liver;LuAD;LuSC;Ovar;Prost;Sarc;Skin	level A
PIK3CA	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"	AdCyst;Bladder;Brain;Breast;Cervix;Colo;Endo;GaEso;Head;KiCl;Liver;LuAD;LuSC;Panc;Prost	level A
VHL	von Hippel-Lindau tumor suppressor	KiCl	level A
GNA11	G protein subunit alpha 11	Skin;UvMel	level A
IDH1	"isocitrate dehydrogenase (NADP(+)) 1, cytosolic"	Blood;Brain;Chol;Prost;Skin	level A
GTF2I	general transcription factor IIi	Thym	level B
ARID1A	AT-rich interaction domain 1A	Bladder;Blood;Brain;Breast;Cervix;Chol;Colo;Endo;GaEso;KiCl;KiNCl;Liver;LuAD;Panc	level A
PBRM1	polybromo 1	Chol;GaEso;KiCl;KiNCl;Panc;Pleura;Skin	level A
BAP1	BRCA1 associated protein 1	Bladder;Cervix;Chol;KiCl;Liver;Pleura;UvMel	level A
PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	Brain;Colo;Endo;GaEso;Prost	level A
CTNNB1	catenin beta 1	Endo;GaEso;Liver;LuAD;Panc;Prost;Skin	level A
KMT2D	lysine methyltransferase 2D	Bladder;Cervix;GaEso;GaEso;Head;Liver;LuSC;Lymph;Prost	level A
NRAS	"NRAS proto-oncogene, GTPase"	Bladder;Blood;Colo;Skin;Testis;Thym;Thyr	level A
ATRX	"ATRX, chromatin remodeler"	Brain;Sarc	level A
KDM6A	lysine demethylase 6A	AdCyst;Bladder;Breast;Head;KiNCl;LuSC;Panc;Prost	level A
SF3B1	splicing factor 3b subunit 1	AdCyst;Bladder;Blood;Breast;Panc;Skin;UvMel	level A
NF2	neurofibromin 2	KiNCl;Pleura	level A
FAT1	FAT atypical cadherin 1	Bladder;Brain;Head;LuSC	level A
FBXW7	F-box and WD repeat domain containing 7	Bladder;Cervix;Colo;Endo;GaEso;Head;Panc	level A
SMAD4	SMAD family member 4	Colo;GaEso;Panc	level A
KMT2C	lysine methyltransferase 2C	Breast;Cervix;Chol;KiCl;KiNCl;Panc;Prost;Skin;Thyr	level A
NOTCH1	notch 1	AdCyst;Blood;Brain;Head;LuSC;Lymph	level A
NF1	neurofibromin 1	Bladder;Blood;Brain;Breast;GaEso;LuAD;Ovar;Panc;Pheo;Sarc;Skin	level A
CDKN2A	cyclin dependent kinase inhibitor 2A	GaEso;Head;Liver;LuAD;LuSC;Panc;Skin	level A
FLG	filaggrin	GaEso	level B
PIM1	"Pim-1 proto-oncogene, serine/threonine kinase"	Lymph	level A
EGFR	epidermal growth factor receptor	Brain;LuAD	level A
CTCF	CCCTC-binding factor	Breast;Endo	level A
STK11	serine/threonine kinase 11	LuAD;Panc	level A
KEAP1	kelch like ECH associated protein 1	Liver;LuAD;LuSC	level A
CARD11	caspase recruitment domain family member 11	Lymph	level A
ERCC2	"ERCC excision repair 2, TFIIH core complex helicase subunit"	Bladder	level A
ARID2	AT-rich interaction domain 2	Bladder;GaEso;Head;Liver;LuAD;Panc;Skin	level A
PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	Endo	level A
CREBBP	CREB binding protein	AdCyst;Bladder;Blood;Lymph	level A
FGFR3	fibroblast growth factor receptor 3	Bladder;Blood	level A
KIT	KIT proto-oncogene receptor tyrosine kinase	Blood;Skin;Testis	level A
ATM	ATM serine/threonine kinase	AdCyst;Bladder;Blood;Colo;Endo;KiCl;LuAD;Lymph;Panc;Prost	level A
CDH1	cadherin 1	Bladder;Breast;GaEso	level A
MYD88	myeloid differentiation primary response 88	Blood;Lymph	level A
POLE	"DNA polymerase epsilon, catalytic subunit"	Endo	level A
BCL2	"BCL2, apoptosis regulator"	Lymph	level A
IGLL5	immunoglobulin lambda like polypeptide 5	Lymph	level C
ERBB4	erb-b2 receptor tyrosine kinase 4	Bladder;GaEso	level A
HRAS	"HRas proto-oncogene, GTPase"	Bladder;Head;Pheo;Prost;Thym;Thyr	level A
STAG2	stromal antigen 2	Bladder;Blood;Brain;KiNCl	level A
CDKN1A	cyclin dependent kinase inhibitor 1A	Bladder;KiNCl;Liver	level A
ERBB2	erb-b2 receptor tyrosine kinase 2	Bladder;Breast;Cervix;Colo;GaEso	level A
FGFR2	fibroblast growth factor receptor 2	Breast;Endo	level A
RPL22	ribosomal protein L22	Endo	level A
SETD2	SET domain containing 2	KiCl;KiNCl;LuAD;Pleura;Skin	level A
ZNF804B	zinc finger protein 804B	GaEso;Lymph	level D
GATA3	GATA binding protein 3	Breast	level A
CASP8	caspase 8	Cervix;Head	level A
SPOP	speckle type BTB/POZ protein	Endo;Prost	level A
ALB	albumin	Liver	level B
CIC	capicua transcriptional repressor	Brain;GaEso	level A
RNF43	ring finger protein 43	GaEso;Panc	level A
RXRA	retinoid X receptor alpha	Bladder	level B
CENPE	centromere protein E	Skin	level C
MAP3K1	mitogen-activated protein kinase kinase kinase 1	Breast	level A
FOXA1	forkhead box A1	Breast;Prost	level A
GNAS	GNAS complex locus	GaEso;Panc	level A
AXIN1	axin 1	Liver;Panc	level A
SMARCA2	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"	AdCyst	level B
REV3L	"REV3 like, DNA directed polymerase zeta catalytic subunit"	Skin	level B
DNMT3A	DNA methyltransferase 3 alpha	Blood;Thyr	level A
FLT3	fms related tyrosine kinase 3	Blood	level A
NPM1	nucleophosmin 1	Blood	level A
RAC1	Rac family small GTPase 1	Skin	level A
TET2	tet methylcytosine dioxygenase 2	Blood;Lymph	level A
MAML2	mastermind like transcriptional coactivator 2	KiNCl	level A
EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	Lymph;Skin	level A
IDH2	"isocitrate dehydrogenase (NADP(+)) 2, mitochondrial"	Blood;Brain;Chol	level A
U2AF1	U2 small nuclear RNA auxiliary factor 1	Blood;Endo;LuAD;Panc	level A
FUBP1	far upstream element binding protein 1	Blood;Brain	level A
XPO1	exportin 1	Blood	level A
AKT1	AKT serine/threonine kinase 1	Breast;Prost	level A
NEFH	neurofilament heavy	KiCl;KiNCl	level B
CD79B	CD79b molecule	Lymph	level A
RBM10	RNA binding motif protein 10	Bladder;Colo;LuAD;Panc	level A
NSD1	nuclear receptor binding SET domain protein 1	Head	level A
MAP2K4	mitogen-activated protein kinase kinase 4	Breast;Panc	level A
ZNF479	zinc finger protein 479	LuAD;Prost	level A
CHEK2	checkpoint kinase 2	Pheo;Thyr	level A
TGFBR2	transforming growth factor beta receptor 2	Head;Panc	level A
RPS6KA3	ribosomal protein S6 kinase A3	Liver	level B
ERBB3	erb-b2 receptor tyrosine kinase 3	Bladder;Cervix;Colo;GaEso	level A
CEBPA	CCAAT enhancer binding protein alpha	Blood	level A
HLA-A	"major histocompatibility complex, class I, A"	Cervix;GaEso;Head;LuSC;Lymph	level A
BACH1	BTB domain and CNC homolog 1	Thym	level C
MET	"MET proto-oncogene, receptor tyrosine kinase"	KiNCl;LuAD	level A
CDK12	cyclin dependent kinase 12	Ovar;Prost	level A
ESR1	estrogen receptor 1	Breast;Endo	level A
AMER1	APC membrane recruitment protein 1	Colo	level A
ACVR2A	activin A receptor type 2A	Colo;GaEso;Liver;Panc	level A
IKZF3	IKAROS family zinc finger 3	Blood	level B
ARHGAP35	Rho GTPase activating protein 35	Bladder;Endo	level C
TNFRSF11A	TNF receptor superfamily member 11a	Testis	level C
TSC2	TSC complex subunit 2	KiNCl;Liver	level A
LATS2	large tumor suppressor kinase 2	Pleura	level B
CHD2	chromodomain helicase DNA binding protein 2	Blood	level A
NFE2L2	"nuclear factor, erythroid 2 like 2"	Endo;GaEso;Head;Liver;LuSC	level A
BRCA1	"BRCA1, DNA repair associated"	Ovar	level A
CCND1	cyclin D1	Endo;Lymph	level A
ASXL1	ASXL transcriptional regulator 1	Blood	level A
CBFB	core-binding factor subunit beta	Breast	level A
HLA-B	"major histocompatibility complex, class I, B"	Cervix;Colo;GaEso;Head;Lymph;Panc	level B
POLR2A	RNA polymerase II subunit A	LuAD	level C
KDM5C	lysine demethylase 5C	KiCl	level A
POU2F2	POU class 2 homeobox 2	Lymph	level B
MAP2K1	mitogen-activated protein kinase kinase 1	Bladder;Skin	level A
RET	ret proto-oncogene	Pheo	level A
TSC1	TSC complex subunit 1	Bladder;KiNCl;Liver	level A
TCHH	trichohyalin	Skin	level D
NCOR1	nuclear receptor corepressor 1	Bladder;Breast;Pleura;Prost	level A
EPAS1	endothelial PAS domain protein 1	Pheo	level A
NUP93	nucleoporin 93	Breast;Thyr	level B
FAM157B	null	Breast	level D
RUNX1	runt related transcription factor 1	Blood;Breast	level A
EGR2	early growth response 2	Blood	level B
B2M	beta-2-microglobulin	GaEso;Lymph	level A
WT1	Wilms tumor 1	Blood	level A
RGPD3	RANBP2-like and GRIP domain containing 3	Prost	level A
KLHL6	kelch like family member 6	Blood;Lymph	level B
PTCH1	patched 1	Brain;GaEso;Pleura	level A
MAPK1	mitogen-activated protein kinase 1	Cervix;Head	level A
TBX3	T-box 3	Breast	level A
EP300	E1A binding protein p300	Bladder;Cervix;Head	level A
EPHA2	EPH receptor A2	Cervix;Head	level B
MAEA	macrophage erythroblast attacher	Testis	level D
HS6ST1	heparan sulfate 6-O-sulfotransferase 1	Breast	level C
ACPP	"acid phosphatase, prostate"	Testis	level D
BCOR	BCL6 corepressor	Blood;Brain;Endo;GaEso	level A
CS	citrate synthase	Chol	level D
RHPN2	rhophilin Rho GTPase binding protein 2	Lymph;Testis	level C
ZNF280D	zinc finger protein 280D	Brain	level D
RHOA	ras homolog family member A	GaEso;Head	level A
CNBD1	cyclic nucleotide binding domain containing 1	GaEso	level A
SOX9	SRY-box 9	Colo;GaEso;Panc	level B
BRD7	bromodomain containing 7	Liver;Skin	level B
PPP6C	protein phosphatase 6 catalytic subunit	Skin	level A
ELF3	E74 like ETS transcription factor 3	Bladder;Chol;Colo;Panc	level A
GNAQ	G protein subunit alpha q	UvMel	level A
BIRC3	baculoviral IAP repeat containing 3	Blood	level A
BRCA2	"BRCA2, DNA repair associated"	Ovar;Prost	level A
IL6ST	interleukin 6 signal transducer	Liver;Prost	level A
SMARCA4	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"	Brain;LuAD	level A
CLIP1	CAP-Gly domain containing linker protein 1	Bladder;LuAD;Skin	level A
RBM12	RNA binding motif protein 12	Panc	level D
HNRNPM	heterogeneous nuclear ribonucleoprotein M	KiNCl	level C
EMG1	"EMG1, N1-specific pseudouridine methyltransferase"	Skin	level D
ERC1	ELKS/RAB6-interacting/CAST family member 1	Testis	level A
CDKN1B	cyclin dependent kinase inhibitor 1B	Breast;Liver;Prost	level A
TYRO3	TYRO3 protein tyrosine kinase	Bladder	level B
MGA	"MGA, MAX dimerization protein"	Blood;LuAD;Prost	level B
STK19	serine/threonine kinase 19	Skin	level B
TMPRSS15	transmembrane serine protease 15	Brain	level C
TCF12	transcription factor 12	Brain	level A
CDC27	cell division cycle 27	Colo;Prost	level B
GNA13	G protein subunit alpha 13	Bladder;Lymph	level B
TMPRSS13	transmembrane serine protease 13	Panc	level D
CNOT9	CCR4-NOT transcription complex subunit 9	Skin	level B
AJUBA	ajuba LIM protein	Head	level B
CHD4	chromodomain helicase DNA binding protein 4	Endo	level A
ACVR1B	activin A receptor type 1B	Panc	level B
TPTE2	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2	Testis	level C
GPS2	G protein pathway suppressor 2	Breast	level B
LARP4B	La ribonucleoprotein domain family member 4B	GaEso	level A
TRAF3	TNF receptor associated factor 3	Blood	level B
ZNF430	zinc finger protein 430	LuAD	level D
XYLT2	xylosyltransferase 2	GaEso	level D
ZFHX3	zinc finger homeobox 3	Endo;Prost;Testis	level A
MBD6	methyl-CpG binding domain protein 6	GaEso	level D
NUMBL	"NUMB like, endocytic adaptor protein"	Sarc	level C
TNFRSF14	TNF receptor superfamily member 14	Lymph	level A
SPEN	spen family transcriptional repressor	Blood;Breast;KiCl;Lymph	level A
ZFP36L1	ZFP36 ring finger protein like 1	Bladder;Breast	level B
ZNF292	zinc finger protein 292	Blood;Prost	level B
HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase	Testis	level D
PEG3	paternally expressed 3	Head	level B
USP28	ubiquitin specific peptidase 28	Prost	level C
ERF	ETS2 repressor factor	Prost	level B
ZC3H13	zinc finger CCCH-type containing 13	Colo;Endo;GaEso	level B
BTG2	BTG anti-proliferation factor 2	Lymph	level B
LRRC37A3	leucine rich repeat containing 37 member A3	Breast	level D
DLC1	DLC1 Rho GTPase activating protein	Prost	level B
CHIT1	chitinase 1	Bladder	level C
POT1	protection of telomeres 1	Blood	level A
ZNF233	zinc finger protein 233	Bladder	level C
PNPLA4	patatin like phospholipase domain containing 4	Testis	level C
TMEM30A	transmembrane protein 30A	Lymph	level C
CIITA	class II major histocompatibility complex transactivator	Lymph	level A
PABPC1	poly(A) binding protein cytoplasmic 1	KiNCl;Lymph	level A
P2RY8	P2Y receptor family member 8	Lymph	level A
FOXA2	forkhead box A2	Endo	level B
LILRA3	null	Pleura	level D
MSH3	mutS homolog 3	Sarc	level B
MIA2	MIA SH3 domain ER export factor 2	Panc	level B
EEF1A1	eukaryotic translation elongation factor 1 alpha 1	Liver	level B
