Gene Symbol	Name	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome
A1CF	APOBEC1 complementation factor	yes		melanoma		
ABI1	abl-interactor 1	yes		AML		
ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	yes		"CML, ALL, T-ALL"		
ABL2	"c-abl oncogene 2, non-receptor tyrosine kinase"	yes		AML		
ACKR3	atypical chemokine receptor 3	yes		lipoma		
ACSL3	acyl-CoA synthetase long-chain family member 3	yes		prostate		
ACSL6	acyl-CoA synthetase long-chain family member 6	yes		"AML, AEL"		
ACVR1	"activin A receptor, type I"	yes		DIPG		
ACVR2A	activin A receptor type 2A	yes		"large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus"		
AFDN	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (AF6)"	yes		AL		
AFF1	"AF4/FMR2 family, member 1"	yes		AL		
AFF3	"AF4/FMR2 family, member 3"	yes		"ALL, T-ALL"		
AFF4	"AF4/FMR2 family, member 4"	yes		ALL		
AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	yes		papillary thyroid		
AKT1	v-akt murine thymoma viral oncogene homolog 1	yes		"breast, colorectal, ovarian, NSCLC"		
AKT2	v-akt murine thymoma viral oncogene homolog 2	yes		"ovarian, pancreatic"		
AKT3	v-akt murine thymoma viral oncogene homolog 3	yes		GBM		
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	yes		leiomyoma		
ALK	anaplastic lymphoma kinase (Ki-1)	yes	yes	"ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour"	neuroblastoma	familial neuroblastoma
AMER1	APC membrane recruitment protein 1	yes		Wilms tumour		
ANK1	ankyrin 1	yes		CCRCC		
APC	adenomatous polyposis of the colon gene	yes	yes	"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS"	"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS"	adenomatous polyposis coli; Turcot syndrome
APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B		yes		breast cancer	
AR	Androgen Receptor	yes	yes	prostate		
ARAF	"A-Raf proto-oncogene, serine/threonine kinase"	yes		"cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis"		
ARHGAP26	Rho GTPase activating protein 26	yes		"AML, MDS"		
ARHGAP5	Rho GTPase activating protein 5	yes		"colon cancer, glioma"		
ARHGEF10	Rho guanine nucleotide exchange factor 10	yes		colon cancer		
ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	yes		lymphoma		
ARHGEF12	RHO guanine nucleotide exchange factor (GEF) 12 (LARG)	yes		AML		
ARID1A	AT rich interactive domain 1A (SWI-like)	yes		"clear cell ovarian carcinoma, RCC, breast"		
ARID1B	AT rich interactive domain 1B	yes		"breast, hepatocellular carcinoma, clear cell ovarian carcinoma"		
ARID2	AT rich interactive domain 2	yes		hepatocellular carcinoma		
ARNT	aryl hydrocarbon receptor nuclear translocator	yes		AML		
ASPSCR1	"alveolar soft part sarcoma chromosome region, candidate 1"	yes		alveolar soft part sarcoma		
ASXL1	additional sex combs like 1	yes		"MDS, CMML"		
ASXL2	"additional sex combs like 2, transcriptional regulator"	yes		"melanoma, CCRCC, AML"		
ATF1	activating transcription factor 1	yes		"malignant melanoma of soft parts, angiomatoid fibrous histiocytoma"		
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	yes		ALCL		
ATM	ataxia telangiectasia mutated	yes	yes	T-PLL	"leukaemia, lymphoma, medulloblastoma, glioma"	ataxia-telangiectasia
ATP1A1	"ATPase, Na+/K+ transporting, alpha 1 polypeptide"	yes		adrenal aldosterone producing adenoma		
ATP2B3	"ATPase, Ca++ transporting, plasma membrane 3"	yes		adrenal aldosterone producing adenoma		
ATR	ATR serine/threonine kinase	yes	yes	"endometrial, gastric, epithelial ovarian, myeloma"	oropharyngeal	familial cutaneous telangiectasia and cancer syndrome
ATRX	alpha thalassemia/mental retardation syndrome X-linked	yes		"pancreatic neuroendocrine tumours, paediatric GBM"		
AXIN1	axin 1	yes		"colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma"		
AXIN2	axin 2	yes	yes	"colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma"	colorectal carcinoma	oligodontia-colorectal cancer syndrome
B2M	beta-2-microglobulin	yes		"DLBCL, melanoma, colorectal adenocarcinoma"		
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	yes	yes	"uveal melanoma, breast, NSCLC, RCC"	"mesothelioma, skin and uveal melanoma, kidney cancer"	BAP1 tumor predisposition syndrome
BARD1	BRCA1 associated RING domain 1	yes	yes	breast cancer	"ovarian cancer, breast cancer, endometrioid cancer"	
BAX	"BCL2 associated X, apoptosis regulator"	yes		colorectal cancer		
BAZ1A	bromodomain adjacent to zinc finger domain 1A	yes		"uterine carcinosarcoma, colon cancer"		
BCL10	B-cell CLL/lymphoma 10	yes		MALT		
BCL11A	B-cell CLL/lymphoma 11A	yes		B-CLL		
BCL11B	B-cell CLL/lymphoma 11B  (CTIP2)	yes		T-ALL		
BCL2	B-cell CLL/lymphoma 2	yes		"NHL, CLL"		
BCL2L12	BCL2 like 12	yes		"melanoma, SCC"		
BCL3	B-cell CLL/lymphoma 3	yes		CLL		
BCL6	B-cell CLL/lymphoma 6	yes		"NHL, CLL"		
BCL7A	B-cell CLL/lymphoma 7A	yes		BNHL		
BCL9	B-cell CLL/lymphoma 9	yes		B-ALL		
BCL9L	B-cell CLL/lymphoma 9-like	yes		"colorectal cancer, endometrial carcinoma, gastric cancer"		
BCLAF1	BCL2 associated transcription factor 1	yes		"melanoma, SCC"		
BCOR	BCL6 corepressor	yes		"retinoblastoma, AML, APL (translocation)"		
BCORL1	BCL6 corepressor-like 1	yes		"AML, HNSCC"		
BCR	breakpoint cluster region	yes		"CML, ALL, AML"		
BIRC3	baculoviral IAP repeat-containing 3	yes		"CLL, MALT, MCL, MM"		
BIRC6	baculoviral IAP repeat containing 6	yes		"melanoma, gastric adenocarcinoma, lung adenocarcinoma"		
BLM	Bloom Syndrome		yes		"leukaemia, lymphoma, skin squamous cell, other tumour types"	Bloom syndrome
BMP5	bone morphogenetic protein 5	yes		melanoma		
BMPR1A	"bone morphogenetic protein receptor, type IA"		yes		gastrointestinal polyps	juvenile polyposis
